Time Period Start Date,Value
3/3/2021,19.3
3/3/2021,15.4
3/3/2021,18
3/3/2021,30.5
3/3/2021,23.2
3/3/2021,17.2
3/3/2021,19.7
3/3/2021,34.7
3/3/2021,28
3/3/2021,21.7
3/3/2021,23.5
3/17/2021,22.1
3/17/2021,18.4
3/17/2021,13.8
3/17/2021,17.2
3/17/2021,27.3
3/17/2021,22.6
3/17/2021,16.3
3/17/2021,17.9
3/17/2021,31.6
3/17/2021,27
3/17/2021,20.9
3/17/2021,22.5
4/14/2021,19.9
4/14/2021,16.2
4/14/2021,11.9
4/14/2021,13.5
4/14/2021,24.3
4/14/2021,18.6
4/14/2021,14.3
4/14/2021,13.2
4/14/2021,28.8
4/14/2021,22.9
4/14/2021,17.9
4/14/2021,17.9
4/28/2021,20.6
4/28/2021,16.3
4/28/2021,11.7
4/28/2021,12.6
4/28/2021,29.6
4/28/2021,22.5
4/28/2021,16.5
4/28/2021,18.6
5/12/2021,19.6
5/12/2021,15.7
5/12/2021,12.1
5/12/2021,10.2
5/12/2021,24.2
5/12/2021,18.4
5/12/2021,12.1
5/12/2021,11.8
5/12/2021,28
5/12/2021,21.9
5/12/2021,16.2
5/12/2021,14
5/26/2021,19.4
5/26/2021,14.7
5/26/2021,11.4
5/26/2021,8.2
5/26/2021,24.5
5/26/2021,17.5
5/26/2021,12.8
5/26/2021,11
5/26/2021,27.8
5/26/2021,21.5
5/26/2021,16.3
5/26/2021,13.4
6/9/2021,19.5
6/9/2021,16
6/9/2021,10.7
6/9/2021,6.4
6/9/2021,24.9
6/9/2021,18.9
6/9/2021,13.1
6/9/2021,7.6
6/9/2021,28.8
6/9/2021,22.7
6/9/2021,16.3
6/9/2021,9.7
6/23/2021,18.9
6/23/2021,14.2
6/23/2021,10.3
6/23/2021,11.4
6/23/2021,22.9
6/23/2021,16.7
6/23/2021,11.4
6/23/2021,11.2
6/23/2021,27.1
6/23/2021,20.4
6/23/2021,14.9
6/23/2021,14.8
7/21/2021,18.6
7/21/2021,15.3
7/21/2021,11.1
7/21/2021,13.2
7/21/2021,23.7
7/21/2021,18
7/21/2021,11.5
7/21/2021,13.9
7/21/2021,27.1
7/21/2021,22.1
7/21/2021,15.4
7/21/2021,17.1
8/4/2021,19.6
8/4/2021,14.6
8/4/2021,10.3
8/4/2021,11.4
8/4/2021,24.7
8/4/2021,17.3
8/4/2021,12.1
8/4/2021,12.8
8/4/2021,15.4
8/4/2021,16.1
8/18/2021,20.8
8/18/2021,16
8/18/2021,10.9
8/18/2021,27.1
8/18/2021,18.4
8/18/2021,13.5
8/18/2021,11.1
8/18/2021,30.6
8/18/2021,22.5
8/18/2021,16.8
8/18/2021,13.5
9/1/2021,19.8
9/1/2021,15.2
9/1/2021,10.1
9/1/2021,12.5
9/1/2021,25.3
9/1/2021,18.9
9/1/2021,12.5
9/1/2021,13.8
9/1/2021,29.1
9/1/2021,22.3
9/1/2021,15
9/1/2021,16.8
9/15/2021,21.9
9/15/2021,15.5
9/15/2021,10.7
9/15/2021,12.2
9/15/2021,27.7
9/15/2021,19
9/15/2021,12.3
9/15/2021,12.2
9/15/2021,31.7
9/15/2021,23.2
9/15/2021,15.2
9/15/2021,16.4
9/29/2021,20.3
9/29/2021,15.1
9/29/2021,10.5
9/29/2021,12.5
9/29/2021,25.8
9/29/2021,18.1
9/29/2021,12.2
9/29/2021,16.2
9/29/2021,29.4
9/29/2021,22.1
9/29/2021,15.1
9/29/2021,18.4
12/1/2021,21
12/1/2021,14.4
12/1/2021,9.4
12/1/2021,13.2
12/1/2021,25.8
12/1/2021,17.5
12/1/2021,11.4
12/1/2021,13
12/1/2021,29.7
12/1/2021,21
12/1/2021,14.2
12/1/2021,17.4
12/29/2021,20.9
12/29/2021,16.3
12/29/2021,11.2
12/29/2021,9
12/29/2021,25.9
12/29/2021,19
12/29/2021,12.1
12/29/2021,12.4
12/29/2021,29.8
12/29/2021,22.7
12/29/2021,16.1
12/29/2021,15
1/26/2022,25.8
1/26/2022,19.4
1/26/2022,11.6
1/26/2022,9.3
1/26/2022,29.6
1/26/2022,22.9
1/26/2022,14.9
1/26/2022,12
3/2/2022,19.4
3/2/2022,15.5
3/2/2022,11
3/2/2022,12.8
3/2/2022,25.2
3/2/2022,19
3/2/2022,12.7
3/2/2022,16
3/2/2022,28.5
3/2/2022,22.5
3/2/2022,16.1
3/2/2022,17.8
3/30/2022,20.3
3/30/2022,14.8
3/30/2022,10.6
3/30/2022,7
3/30/2022,25.1
3/30/2022,18.2
3/30/2022,13
3/30/2022,9.6
3/30/2022,29.3
3/30/2022,21.6
3/30/2022,16.1
3/30/2022,11.8
4/27/2022,21.6
4/27/2022,13.5
4/27/2022,10.2
4/27/2022,9.5
4/27/2022,29.4
4/27/2022,19.6
4/27/2022,15.5
4/27/2022,11.8
6/1/2022,21.9
6/1/2022,16.2
6/1/2022,10.3
6/1/2022,13.4
6/1/2022,27.7
6/1/2022,20.9
6/1/2022,12.8
6/1/2022,16.4
6/1/2022,31.9
6/1/2022,24.6
6/1/2022,15.9
6/1/2022,19.6
6/29/2022,22.8
6/29/2022,15.8
6/29/2022,11.8
6/29/2022,9.6
6/29/2022,27.4
6/29/2022,18.7
6/29/2022,14.2
6/29/2022,14.9
6/29/2022,31.7
6/29/2022,22.9
6/29/2022,17.7
6/29/2022,18.7
7/27/2022,22.6
7/27/2022,15.1
7/27/2022,11
7/27/2022,7.4
7/27/2022,28.8
7/27/2022,17.8
7/27/2022,14.5
7/27/2022,10.6
9/14/2022,25.5
9/14/2022,17.7
9/14/2022,12.4
9/14/2022,12.1
9/14/2022,33.5
9/14/2022,23.6
9/14/2022,15.4
9/14/2022,17.9
9/14/2022,37.8
9/14/2022,27.8
9/14/2022,19.5
9/14/2022,19.1
10/5/2022,24.4
10/5/2022,19
10/5/2022,14
10/5/2022,13.3
10/5/2022,31.3
10/5/2022,23.7
10/5/2022,17.1
10/5/2022,19.4
10/5/2022,36
10/5/2022,27.9
10/5/2022,21.2
10/5/2022,22.6
11/2/2022,22.6
11/2/2022,17.6
11/2/2022,11.4
11/2/2022,16.5
11/2/2022,29.8
11/2/2022,23.4
11/2/2022,16.1
11/2/2022,16.6
12/9/2022,22.7
12/9/2022,17.1
12/9/2022,14
12/9/2022,11
12/9/2022,28.8
12/9/2022,20.8
12/9/2022,16.6
12/9/2022,14.5
12/9/2022,32.8
12/9/2022,24.9
12/9/2022,20.8
12/9/2022,16.6
1/4/2023,22.3
1/4/2023,16.8
1/4/2023,11.5
1/4/2023,10.7
1/4/2023,27
1/4/2023,21.7
1/4/2023,15.4
1/4/2023,13.5
1/4/2023,31.7
1/4/2023,25.1
1/4/2023,18.9
1/4/2023,15.8
2/1/2023,20.1
2/1/2023,16
2/1/2023,11.8
2/1/2023,11.5
2/1/2023,26
2/1/2023,21.4
2/1/2023,15.4
2/1/2023,14.2
2/1/2023,29.9
2/1/2023,25.4
2/1/2023,18.7
2/1/2023,16.8
3/1/2023,28.5
3/1/2023,20.9
3/1/2023,14.9
3/1/2023,14.6
3/1/2023,32.5
3/1/2023,25.7
3/1/2023,19
3/1/2023,18.1
3/29/2023,11.4
3/29/2023,26.7
3/29/2023,20.2
3/29/2023,16.4
3/29/2023,16.8
3/29/2023,31.2
3/29/2023,24.1
3/29/2023,19.4
3/29/2023,20.5
4/26/2023,21.1
4/26/2023,16.2
4/26/2023,12.3
4/26/2023,10.8
4/26/2023,25.9
4/26/2023,19.8
4/26/2023,16.4
4/26/2023,14.3
4/26/2023,30.6
4/26/2023,24.2
4/26/2023,20.1
4/26/2023,18.1
6/7/2023,19.7
6/7/2023,14.9
6/7/2023,12.4
6/7/2023,15.3
6/7/2023,26.2
6/7/2023,20.1
6/7/2023,16.7
6/7/2023,18.1
6/7/2023,29.8
6/7/2023,24.6
6/7/2023,21
6/7/2023,20.3
6/28/2023,21.8
6/28/2023,15.9
6/28/2023,12.1
6/28/2023,13.6
6/28/2023,26
6/28/2023,19.2
6/28/2023,14
6/28/2023,17.4
6/28/2023,31.1
6/28/2023,24
6/28/2023,18.3
6/28/2023,20.6
7/26/2023,19.4
7/26/2023,17.2
7/26/2023,10.7
7/26/2023,12.1
7/26/2023,26.5
7/26/2023,20.8
7/26/2023,13.7
7/26/2023,11.5
7/26/2023,30.1
7/26/2023,25
7/26/2023,17.8
7/26/2023,15.7
8/23/2023,16.7
8/23/2023,13.1
8/23/2023,10.9
8/23/2023,11.3
8/23/2023,22
8/23/2023,15.8
8/23/2023,10.6
8/23/2023,11.8
8/23/2023,25.8
8/23/2023,19.8
8/23/2023,15.4
8/23/2023,16.8
9/20/2023,21.1
9/20/2023,15.7
9/20/2023,12.9
9/20/2023,11.6
9/20/2023,27.5
9/20/2023,20.5
9/20/2023,15.6
9/20/2023,15.7
9/20/2023,32.3
9/20/2023,24.8
9/20/2023,19.8
9/20/2023,18.8
10/18/2023,21.1
10/18/2023,16.2
10/18/2023,12
10/18/2023,11.1
10/18/2023,27.7
10/18/2023,20.2
10/18/2023,15.1
10/18/2023,15.7
10/18/2023,31.8
10/18/2023,24.9
10/18/2023,18.6
10/18/2023,20.1
1/9/2024,12.1
1/9/2024,9.5
1/9/2024,5.6
1/9/2024,7.1
1/9/2024,15.1
1/9/2024,10.6
1/9/2024,5.7
1/9/2024,7.4
1/9/2024,18.1
1/9/2024,14.1
1/9/2024,8.3
1/9/2024,9.4
2/6/2024,12.1
2/6/2024,9
2/6/2024,5.7
2/6/2024,7
2/6/2024,14.8
2/6/2024,10.8
2/6/2024,6.8
2/6/2024,7.7
2/6/2024,17.9
2/6/2024,13.9
2/6/2024,9.1
2/6/2024,10.3
